Category,Parent Company,ALC Brand Extension,ALC Size,Markets,Time Periods,Total $ Sales,Total $ Sales YA,Total $ Sales Change vs Year-Ago,Total EQ Unit Sales,Total EQ Unit Sales YA,Total EQ Unit Sales Change vs Year-Ago,Total TDP,Total TDP YA,Total TDP Change vs Year-Ago,% ACV (Max),% ACV (Max) YA,% ACV (Max) Change vs Year-Ago,Total Average Price,Total Average Price YA,Total Average Price Change vs Year-Ago,Total Average EQ Price,Total Average EQ Price YA,Total Average EQ Price Change vs Year-Ago
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 11-16-2024,,79.989997863769531,-79.989997863769531,,0.0416666716337204,-0.0416666716337204,,0.74034968327798367,-0.74034968327798367,,0.0074034968327798363,-0.0074034968327798363,,79.989997863769531,-79.989997863769531,,1919.7597198772764,-1919.7597198772764
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 11-09-2024,,174.97999572753906,-174.97999572753906,,0.0833333432674408,-0.0833333432674408,,1.2854532934951894,-1.2854532934951894,,0.012854532934951896,-0.012854532934951896,,87.489997863769531,-87.489997863769531,,2099.759698419607,-2099.759698419607
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 11-02-2024,,79.989997863769531,-79.989997863769531,,0.0416666716337204,-0.0416666716337204,,0.572032223693539,-0.572032223693539,,0.0057203222369353914,-0.0057203222369353914,,79.989997863769531,-79.989997863769531,,1919.7597198772764,-1919.7597198772764
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 10-26-2024,,,,,,,,,,,,,,,,,,
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 10-19-2024,,174.97999572753906,-174.97999572753906,,0.0833333432674408,-0.0833333432674408,,1.571597419408066,-1.571597419408066,,0.015715974194080658,-0.015715974194080658,,87.489997863769531,-87.489997863769531,,2099.759698419607,-2099.759698419607
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 10-12-2024,94.959999084472656,,94.959999084472656,0.16666668653488159,,0.16666668653488159,0.47359823664086381,,0.47359823664086381,0.0047359823664086384,,0.0047359823664086384,23.739999771118164,,23.739999771118164,569.75992658615985,,569.75992658615985
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 10-05-2024,,94.989997863769531,-94.989997863769531,,0.0416666716337204,-0.0416666716337204,,0.84710628176156189,-0.84710628176156189,,0.008471062817615619,-0.008471062817615619,,94.989997863769531,-94.989997863769531,,2279.7596769619372,-2279.7596769619372
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 09-28-2024,,,,,,,,,,,,,,,,,,
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 09-21-2024,,94.989997863769531,-94.989997863769531,,0.0416666716337204,-0.0416666716337204,,0.916795842044961,-0.916795842044961,,0.00916795842044961,-0.00916795842044961,,94.989997863769531,-94.989997863769531,,2279.7596769619372,-2279.7596769619372
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 09-14-2024,,174.97999572753906,-174.97999572753906,,0.0833333432674408,-0.0833333432674408,,2.146206000437263,-2.146206000437263,,0.021462060004372629,-0.021462060004372629,,87.489997863769531,-87.489997863769531,,2099.759698419607,-2099.759698419607
TEQUILA,CASA DRAGONES TEQUILA CO,CASA DRAGONES ANEJO TEQUILA,375ML,ABC Fine Wine & Spirits Total,1 Week - W/E 09-07-2024,,79.989997863769531,-79.989997863769531,,0.0416666716337204,-0.0416666716337204,,0.558863685728558,-0.558863685728558,,0.00558863685728558,-0.00558863685728558,,79.989997863769531,-79.989997863769531,,1919.7597198772764,-1919.7597198772764
